mandateId|lastUpdateDate|creditorId|creditorName|creditorAccountNumber|creditorSortCode|creditorIban|creditorBic|debtorName|debtorAccountNumber|debtorSortCode|debtorIban|debtorBic|debtorEmail|debtorPhone|mandateReference|mandateType|frequency|status|signatureDate|effectiveDate|expiryDate|maxAmountPerTransaction|maxAmountPerMonth|maxTransactionsPerMonth|currency|description|schemeType
MND-0000000001|2023-01-22 07:21:05|CRED000020|Greenpeace UK|85877820|20-74-42|GB57NWBK20744285877820|HSBCGB21|Logan Lewis|56472370|91-53-22|GB72NWBK91532256472370|TSBSIE2S|logan.lewis10@talktalk.net|+447901784484|REF-GREE-898785|RECURRING|FORTNIGHTLY|PENDING|2026-03-22|2026-04-18|2028-04-18|3902.48|19512.40|9|EUR|Club dues|SEPA_CORE
MND-0000000002|2026-02-19 15:29:46|CRED000425|Bulb Energy Ltd|75696420|47-38-71|GB74NWBK47387175696420|RBOSGB21|Evie Green|50998447|05-00-13|GB64NWBK05001350998447|SANTGBMM|evie.green84@virginmedia.com|+447701256783|REF-BULB-388289|ONE_OFF|ONE_OFF|ACTIVE|2026-03-10|2026-03-16|2031-03-16|3861.49|11584.47|10|EUR|Utility bill payment|SEPA_CORE
MND-0000000003|2026-10-22 19:16:09|CRED000193|Thames Water Utilities|27790732|35-07-36|GB30NWBK35073627790732|NWBKGB2L|David Murphy|81143042|35-27-27|GB69NWBK35272781143042|SWINGB21|david.murphy@aol.com|+447706384946|REF-THAM-451358|ONE_OFF|ONE_OFF|ACTIVE|2026-10-20|2026-11-09|2030-11-09|2407.32|4814.64|10|GBP|Membership fee|BACS
MND-0000000004|2026-02-19 15:29:46|CRED000218|British Gas Services Ltd|33467395|47-01-03|GB80NWBK47010333467395|NWBKGBMM|Lily Cooper|26238830|71-30-56|GB54NWBK71305626238830|SANTGB2S|lilycooper126@outlook.com|+447707077330|REF-BRIT-126729|ONE_OFF|ONE_OFF|ACTIVE|2024-12-13|2025-01-11|2028-01-11|3966.58|3966.58|6|GBP|TV subscription|BACS
MND-0000000005|2025-05-10 16:55:41|CRED000121|RAC Motoring Services|13155371|71-33-90|GB37NWBK71339013155371|NWBKGB22|Mia Mitchell|53878609|45-63-34|GB65NWBK45633453878609|HSBCGB21|mia.mitchell54@hotmail.com|+447908319360|REF-RAC-474806|ONE_OFF|ONE_OFF|ACTIVE|2024-09-01|2024-09-05|2029-09-05|2476.35|7429.05|8|GBP|Monthly subscription|SEPA_CORE
MND-0000000006|2026-02-19 15:29:46|CRED000754|O2 UK Limited|90161801|35-57-41|GB33NWBK35574190161801|SANTGB21|Oscar Parker|24692024|37-89-21|GB63NWBK37892124692024|RBOSGB2S|oscarparker@outlook.com|+447706914844|REF-OU-212704|RECURRING|MONTHLY|ACTIVE|2020-03-12|2020-04-01|2024-04-01|2457.37|4237.38|2|EUR|Mortgage payment|SEPA_CORE
MND-0000000007|2026-02-19 15:29:46|CRED000382|South West Water Ltd|36534668|73-66-23|GB67NWBK73662336534668|RBOSGB2L|Logan Davies|70019764|72-74-13|GB93NWBK72741370019764|LOYDGB21|logan_davies902@sky.com|+447702890655|REF-SOUT-448031|RECURRING|ANNUALLY|SUSPENDED|2022-03-08|2022-03-27|2024-03-27|2241.83|11209.15|7|GBP|Loan repayment|BACS
MND-0000000008|2025-01-05 00:05:42|CRED000696|National Trust Membership|24527140|74-09-70|GB21NWBK74097024527140|NATWIE21|Ava Wilson|75247283|07-21-21|GB42NWBK07212175247283|TSBSGBMM|ava61@gmail.com|+447904367053|REF-NATI-212689|RECURRING|FORTNIGHTLY|ACTIVE|2021-06-30|2021-07-20|2026-07-20|4419.07|8838.14|2|EUR|Energy bill|SEPA_CORE
MND-0000000009|2026-02-19 15:29:46|CRED000420|Sky UK Limited|61270675|77-19-93|GB56NWBK77199361270675|TSBSIE21|Eva Baker|30917115|18-39-06|GB19NWBK18390630917115|LOYDGB2S|eva.baker444@aol.com|+447900785294|REF-SKY-281440|RECURRING|MONTHLY|PENDING|2022-10-24|2022-11-19|2025-11-19|1832.76|1832.76|5|GBP|Council tax|SEPA_CORE
MND-0000000010|2025-01-30 23:20:27|CRED000066|HBO Max UK|82496747|73-61-43|GB83NWBK73614382496747|HSBCIEMM|Freya Begum|56828771|52-59-82|GB67NWBK52598256828771|SWINGBMM|freya73@hotmail.com|+447700161616|REF-HBO-814545|RECURRING|FORTNIGHTLY|ACTIVE|2023-10-22|2023-10-29|2026-10-29|213.79|427.58|10|EUR|Mortgage payment|SEPA_CORE
